master_chemprop_input,IV
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1460|0.3540|0.2335|0.0035|0.2630|,0.24600000000000002
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1499|0.3498|0.2279|0.0050|0.2674|,0.253
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1490|0.3510|0.2265|0.0050|0.2685|,0.258
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1495|0.3505|0.2285|0.0045|0.2670|,0.349
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.0500|0.3252|0.1251|0.1386|0.2266|0.0335|0.1011|,0.368
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CCC(CO)(CO)CO.CC(CO)CO.C1C(CC2C1C3CC(C2C3)CO)CO|0.1516|0.0030|0.3457|0.0325|0.0950|0.3722|,0.242
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CCC(CO)(CO)CO.CC(CO)CO.C1C(CC2C1C3CC(C2C3)CO)CO|0.1515|0.0020|0.3465|0.0350|0.1965|0.2685|,0.213
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CCC(CO)(CO)CO.C1C(CC2C1C3CC(C2C3)CO)CO|0.0580|0.3208|0.1214|0.0310|0.4688|,0.191
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4232|0.0770|0.2866|0.2131|,0.14400000000000002
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4224|0.0781|0.2943|0.2052|,0.163
