,Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End,uncertainty,abs_error
96,100,Kettle,A150ND,1.0,37.0,37,0,0.265,0.27,50.82,,,8435.0,24701.0,52909.0,2.928,,,,,30.1,,,,,,,,,,,69.9,,100.0,,,,,,,,,,6.1,,93.9,100.0,,0.09181998670101166,0.015329301357269287
278,C46,,,,,,,0.619,,25.0,26.0,7.34,4953.0,131365.0,910733.0,26.52,,,,,,,,,,,,100.0,,,,,,100.0,100.0,,,,,,,,,,,,100.0,,0.10419908910989761,0.059783101081848145
261,C29,,,,,,,0.504,,-2.0,0.0,0.67,5736.0,29382.0,53427.0,5.122000000000001,,,,,,,,,100.0,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,0.10457322746515274,0.06995266675949097
292,C60,,,,,,,0.5870000000000001,,-21.0,-20.0,0.14,14409.0,38227.0,65339.0,2.653,,,,,,100.0,,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,0.10942671447992325,0.019311189651489258
274,C42,,,,,,,0.63,,42.0,45.0,1.39,14439.0,50602.0,86850.0,3.505,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,0.11963275820016861,0.004312455654144287
291,C59,,,,,,,0.584,,-44.0,-43.0,0.73,13621.0,45044.0,76035.0,3.307,,,,,,100.0,,,,,,,,,,,,100.0,,,,,,100.0,,,,,,,100.0,,0.13754655420780182,0.11330550909042358
244,C12,,,,,,,0.773,,16.0,17.0,0.79,10805.0,69275.0,137066.0,6.4110000000000005,,,,,,,,,,,,,,,100.0,,,100.0,,,,100.0,,,,,,,,,100.0,,0.14406472444534302,0.05605578422546387
272,C40,,,,,,,0.782,,-28.0,-27.0,0.65,19663.0,68249.0,128605.0,3.471,,,,,,,,,,,100.0,,,,,,,100.0,,,,,100.0,,,,,,,,100.0,,0.1710149496793747,0.02188974618911743
233,C1,,,,,,,0.47600000000000003,,78.0,83.0,0.71,18776.0,47381.0,74116.0,2.523,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,,,,,,,,,,,100.0,,0.1844426691532135,0.32421350479125977
254,C22,,,,,,,0.478,,-8.0,-6.0,2.59,5374.0,38933.0,70763.0,7.245,,,,,,,,,,,,,,100.0,,,,100.0,,,,,100.0,,,,,,,,100.0,,0.20267848670482635,0.07415607571601868
235,C3,,,,,,,0.769,,32.0,34.0,0.21,28685.0,71407.0,112093.0,2.489,,,,,,,,,,,,,,,,100.0,,100.0,,,,100.0,,,,,,,,,100.0,,0.2156597524881363,0.1582849621772766
268,C36,,,,,,,0.503,,-12.0,-10.0,0.79,12351.0,37777.0,61972.0,3.0589999999999997,,,,,,,,,100.0,,,,,,,,,100.0,,100.0,,,,,,,,,,,100.0,,0.25714823603630066,0.05884164571762085
273,C41,,,,,,,0.912,,19.0,20.0,1.36,20137.0,118232.0,254858.0,5.871,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,,,,,,100.0,,0.2620382308959961,0.28299427032470703
3,4,Kettle,A150ND,2.3,22.0,6,16,0.257,,33.51,,,9191.0,22516.0,39012.0,2.45,,,,,29.9,,,,,,,,,,50.2,19.9,,100.0,,,,,,47.4,,,51.6,1.0,,,100.0,,0.2654555141925812,0.009766951203346252
198,245,Rig,Neat,0.6,3.03,,,0.5379999999999999,0.5579999999999999,-38.63,,,4848.0,11739.0,20061.0,2.421,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,0.31862953305244446,0.042084455490112305
199,246,Rig,Neat,0.5,4.6,,,0.369,0.37799999999999995,-40.86,,,3668.0,7775.0,12242.0,2.12,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,100.0,,,,,,100.0,,0.32134613394737244,0.02874279022216797
118,138,Rig,Neat,23.79,32.35845164,,,0.132,0.133,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,,57.7,42.0,,,,99.9,,0.368464857339859,0.0031782686710357666
237,C5,,,,,,,0.9670000000000001,,76.0,78.0,1.9,21478.0,122592.0,200397.0,5.707999999999999,,,,,,,,,,,,,,,,100.0,,100.0,,,,,,100.0,,,,,,,100.0,,0.36970558762550354,0.13743919134140015
236,C4,,,,,,,0.8079999999999999,,14.0,15.0,0.19,30370.0,75639.0,118934.0,2.491,,,,,,,,,,,,,,,,100.0,,100.0,,,,,100.0,,,,,,,,100.0,,0.3698016107082367,0.1898130178451538
132,152,Rig,Neat,25.99,24.90016034,,,0.154,0.155,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,58.3,,41.5,,,,99.9,,0.3981230854988098,0.002264544367790222
142,162,Rig,Neat,17.38,31.37452689,,,0.151,0.152,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,54.4,,45.2,,,,99.9,,0.4560851752758026,0.001979142427444458
128,148,Rig,Neat,14.54,35.54639003,,,0.159,0.16,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100.0,,,,,,,,55.5,44.4,,,,99.9,,0.47360506653785706,0.016051337122917175
129,149,Rig,Neat,13.37,30.94362947,,,0.166,0.168,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,,55.6,44.2,,,,99.7,,0.5296638607978821,0.012164369225502014
125,145,Rig,Neat,16.04,21.56620657,,,0.177,0.179,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,,56.3,43.5,,,,99.6,,0.55892014503479,0.00457550585269928
144,164,Rig,Neat,11.99,27.66887392,,,0.183,0.18600000000000003,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,55.7,,44.0,,,,99.4,,0.6015570759773254,0.014423489570617676
