Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End
77,Kettle,A150ND,1.38,,,,,,,,,,,,,,,,,,30,,,,,,,,,70,,,100,,,,,,,,,45,2,53,,100,
78,Kettle,A150ND,1.3,16,7,9,0.265,0.269,32.55,,,9279,22183,43712,2.391,,,,,,28.2,,,,,,,,,71.8,,,100,,,,,,,,,54.3,,45.7,,100,
79,Kettle,A150ND,0.69,27,12,14,0.231,0.235,32.26,,,7958,20109,37887,2.527,,,,,,28.5,,,,,,,,,71.5,,,100,,,,,,,,,46.1,1.1,52.8,,100,
80,Kettle,A150ND,0.83,31,14,17,0.246,0.25,33.26,,,8429,23976,50179,2.844,,,,,,29,,,,,,,,,71,,,100,,,,,,,,,45.9,2.5,51.6,,100,
81,Kettle,A150ND,2.02,33,13,20,0.198,0.2,31.15,,,7691,16310,26542,2.121,,,,,,29.2,,,,,,,,,70.8,,,100,,,,,,,,,45.2,,54.8,,100,
82,Kettle,A150ND,7.7,27,8,19,0.199,0.201,29.34,,,6719,14098,23749,2.098,,,,,,29.2,,,,,,,,,70.8,,,100,,,,,,,,,44.7,,55.3,,100,
83,Kettle,A150ND,3.23,19,5,14,0.569,0.591,36.75,,,13266,93058,412025,7.015,,,,,,28.6,,,,,,,,,71.4,,,100,,,,,,,,,46.5,2.5,51,,100,
84,Kettle,A150ND,6.8,20,6,13,0.396,0.406,34.33,,,10722,49529,142542,4.619,,,,,,28.6,,,,,,,,,71.4,,,100,,,,,,,,,46.5,2.6,50.9,,100,
85,Kettle,A150ND,3.9,22,6,16,0.26,0.264,31.91,,,9266,20637,32497,2.227,,,,,,29.1,,,,,,,,,70.9,,,100,,,,,,,,,45.3,,54.7,,100,
86,Kettle,A150ND,5.7,24,8,16,0.291,0.297,33.25,,,9668,26776,49923,2.77,,,,,,29.1,,,,,,,,,70.9,,,100,,,,,,,,,45.4,1,53.6,,100,
87,Kettle,A150ND,7.72,23,6,17,0.218,0.222,30.5,,,7142,16301,29971,2.282,,,,,,29.1,,,,,,,,,70.9,,,100,,,,,,,,,45.3,,54.7,,100,
88,Kettle,A150ND,1.23,22,10,13,0.417,0.429,35.03,,,11841,59662,230123,5.039,,,,,,29.2,,,,,,,,,70.8,,,100,,,,,,,,,45.6,2.5,51.9,,100,
89,Kettle,A150ND,5.5,12.8,,,0.444,0.458,,,,,,,,,,,,,30,,,,,,,,,70,,,100,,,,,,,,,45,2,53,,100,
90,Kettle,A150ND,4.5,6,2,4,0.436,0.449,36.7,,,15062,41426,64364,2.75,,,,,,29,,,,,,,,,71,,,100,,,,,,,,,45.1,,54.9,,100,
91,Kettle,A150ND,5.1,19,6,14,0.323,0.33,34.49,,,13896,48970,111016,3.524,,,,,,29.1,,,,,,,,,70.9,,,100,,,,,,,,,45.7,1,53.3,,100.4,
92,Kettle,A150ND,2.6,16,5,10,0.453,0.467,36.3,,,14223,46627,103288,3.278,,,,,,29.1,,,,,,,,,70.9,,,100,,,,,,,,,45.1,1.1,54.2,,100,
93,Kettle,A150ND,0.7,22,10,12,0.342,0.35,35.5,,,13145,38824,81571,2.954,,,,,,29.1,,,,,,,,,70.9,,,100,,,,,,,,,45.8,0.7,53.5,,100,
94,Kettle,A150ND,8.3,43,,,,,85.32,,,9606,235165,2123736,24.48,,,,,5.1,,,,,,,,,,67.6,27.2,,99.9,,,,,,,37.4,,45.5,7.1,10,,100,
95,Kettle,A150ND,7.6,42.3,,,,,76.4,,,9188,258702,2358715,28.16,,,,,10.3,,,,,,,,,,64.9,24.8,,100,,,,,,,37.6,,45.5,6.8,10.1,,100,
96,Kettle,A150ND,4.3,51,15,36,0.307,0.313,55.26,,,8264,42089,147946,5.093,,,,,15.7,,,,,,,,,,62,22.3,,100,,,,,,,28,,45.2,6.5,20.3,,100,
97,Kettle,A150ND,3.4,42,10,32,0.356,0.365,80.2,,,9964,81311,309581,8.16,,,,,5.2,,,,,,,,,,67.5,27.3,,100,,,,,,,38.4,,45.1,6.6,9.9,,100,
98,Kettle,A150ND,2.5,40,15,26,0.281,0.286,48.02,,,7910,36890,118054,4.664,,,,,,19.4,,,,,,,,,60.7,19.9,,100,,,,,,,27.5,,40.3,7.1,25.1,,100,
99,Kettle ,A150ND,1.5,36,36,0,0.218,0.221,77.77,,,8367,24839,53133,2.969,,,,,10.3,,,,,,,,,,,89.7,,100,,,,,,,,,,6.6,,93.4,100,
100,Kettle,A150ND,1,37,37,0,0.265,0.27,50.82,,,8435,24701,52909,2.928,,,,,30.1,,,,,,,,,,,69.9,,100,,,,,,,,,,6.1,,93.9,100,
101,Kettle ,A150ND,1.5,36,36,0,0.26,0.264,60.13,,,8363,24229,54351,2.897,,,,,20,,,,,,,,,,,80,,100,,,,,,,,,,5.8,,94.2,100,
102,Kettle ,A150ND,1.5,25,25,0,,,59.35,,,9497,55216,208696,5.814,,,,,10,,,,,,,,,,65.9,24.1,,100,,,,,,,,93.2,,6.8,,,100,
103,Kettle ,A150ND,0.9,39,39,0,0.479,0.495,55.36,,,12448,83595,555527,6.716,,,,,10.1,,,,,,,,,,65.7,24.2,,100,,,,,,,41.1,52.8,,6.1,,,100,
104,Kettle ,A150ND,4.5,28,28,0,,,59.66,,,9558,63655,295654,6.66,,,,,10,,,,,,,,,,66,24,,100,,,,,,,,93,,7,,,100,
105,Kettle ,A150ND,4.4,35,35,0,0.305,0.311,55.58,,,8642,33774,87548,3.908,4644,12606,26216,2.714,5.1,,,,,,,,,,67.6,27.3,,100,,,,,,,,93.6,,6.4,,,100,
106,Kettle ,A150ND,4.6,28,28,0,0.442,0.455,65.55,,,11035,112649,632570,10.21,5902,32882,132423,5.571,,,,,,,,,,,70.2,29.8,,100,,,,,,,,92.8,,7.2,,,99.9,
107,Kettle ,A150ND,4.9,21,6,15,0.306,0.312,102.4,,,10197,35888,87172,3.519,5341,13353,26299,2.5,,4.7,,,,,,,,,46.4,48.9,,100,,,,,,,,,50,3,9.8,37.1,100,
124,Kettle,A150ND,,,,,,,,,,,,,,,,,,15,,,,,,,,,,52,33,,100,,,,,,24,76,,,,,,100,
125,Kettle,A150ND,1.1,20,20,0,0.249,0.253,37.51,,,9486,20124,31384,2.121,,,,,15.5,,,,,,,,,,51.8,32.7,,100,,,,,,75.5,24.5,,,,,,100,
126,Kettle,A150ND,4.29,29,9,19,0.246,0.25,31.94,,,7122,17137,31321,2.406,,,,,,29.2,,,,,,,,,70.8,,,100,,,,,,,,,46.7,0.7,52.6,,100.1,
127,Kettle,A150ND,9.1,25,7,18,0.253,0.257,29.34,,,4888,14843,28637,3.037,,,,,,30,,,,,,,,,70,,,100,,,,,,,,,45.6,1,53.5,,100,
128,Kettle,A150ND,4.3,18,7,11,0.258,0.263,31.76,,,9738,28428,65723,2.919,5077,11043,20394,2.175,,29.8,,,,,,,,,70.2,,,100,,,,,,,,,45.3,1,53.7,,100,
129,Kettle,A150ND,7.28,15,4,11,0.349,0.357,35.54,,,9215,26617,49602,2.888,4879,10528,16985,2.158,,29.9,,,,,,,,,70.1,,,100,,,,,,,,,45.7,0.9,53.4,,99.9,
130,Kettle,A150ND,2.8,46,14,32,0.368,0.377,61.14,,,8847,58632,258461,6.627,4812,19348,62048,4.021,10,,,,,,,,,,65,25,,100,,,,,,,27.7,,45.3,6.7,20.2,,99.9,
131,Kettle,A150ND,2.3,47,47,0,0.242,0.246,34.01,,,6442,17656,38113,2.741,3519,7361,13112,2.092,30.3,,,,,,,,,,0.6,69.1,,100,,,,,,,,,,6.5,19,74.4,100,
132,Kettle,A150ND,3.6,44,44,0,0.213,0.216,25.61,,,6600,20617,48794,3.124,3629,8350,15948,2.301,30.3,,,,,,,,,,0.4,69.3,,100,,,,,,,,,,7,39.3,53.7,100,
133,Kettle,A150ND,1.6,39,39,0,0.191,0.193,52.23,,,7058,18028,34830,2.554,3788,7532,12482,1.988,11.6,0,,,,,,,,,64.2,24.3,,100,,,,,,,,,,6.2,,93.8,99.9,
134,Rig,Neat,25.9,27.96479659,,,0.144,0.146,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,57.3,,42.6,,,,99.9,
135,Rig,Neat,22.66,22.41013994,,,0.163,0.165,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,58.8,,41,,,,99.7,
136,Rig,Neat,18.68,23.8131529,,,0.175,0.177,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,58,,41.7,,,,99.9,
137,Rig,Neat,18.42,17.6,,,0.197,0.199,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,59.4,,40.5,,,,99.7,
