Simple_tg_r2,Simple_tg_mae,Simple_iv_r2,Simple_iv_mae,OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,OH+Mw_tg_r2,OH+Mw_tg_mae,OH+Mw_iv_r2,OH+Mw_iv_mae,CM_tg_r2,CM_tg_mae,CM_iv_r2,CM_iv_mae,BOB_tg_r2,BOB_tg_mae,BOB_iv_r2,BOB_iv_mae,PI (20)_tg_r2,PI (20)_tg_mae,PI (20)_iv_r2,PI (20)_iv_mae,PI (50)_tg_r2,PI (50)_tg_mae,PI (50)_iv_r2,PI (50)_iv_mae,PI (100)_tg_r2,PI (100)_tg_mae,PI (100)_iv_r2,PI (100)_iv_mae,SOAP_tg_r2,SOAP_tg_mae,SOAP_iv_r2,SOAP_iv_mae,MBTR_tg_r2,MBTR_tg_mae,MBTR_iv_r2,MBTR_iv_mae
-1.4291,37.2121,-0.3138,0.0954,0.8328,10.3012,0.1127,0.0821,0.845,10.3723,-0.10300000000000001,0.0825,0.8888,7.4239999999999995,0.2403,0.0798,0.8283,8.818999999999999,0.1569,0.0838,0.8663,7.6629,0.2617,0.073,0.8774,7.9969,0.2923,0.0729,0.8613,8.697000000000001,0.1938,0.0783,0.8176,9.437999999999999,0.3877,0.0677,0.8852,7.8098,0.3437,0.0718
-1.1338,38.2878,-0.2336,0.0938,0.8312,10.5513,0.2423,0.079,0.7733,10.6642,-0.0201,0.0825,0.8783,7.7821,0.2019,0.08,0.8622,7.6004,0.1293,0.0837,0.8988,6.7948,0.1293,0.0787,0.8805,8.3835,0.2768,0.0741,0.871,8.4143,0.2245,0.0785,0.8804,7.194,0.3329,0.0704,0.8911,7.6904,0.3129,0.0727
-1.0185,37.9224,-0.2661,0.0934,0.8391,10.2909,0.2322,0.0807,0.8372,10.5347,-0.0351,0.0824,0.8933,7.3272,0.1989,0.0812,0.8753,7.4621,0.1188,0.0822,0.8575,8.6576,0.2466,0.07400000000000001,0.8926,8.1156,0.2689,0.0756,0.8663,8.6473,0.2423,0.0768,0.8761,7.9386,0.3157,0.0713,0.8968,7.4362,0.3113,0.0731
-1.0244,37.2564,-0.3036,0.0933,0.8412,10.4575,0.2221,0.0785,0.8497,10.165,-0.028999999999999998,0.0821,0.8812,8.0618,0.1137,0.084,0.8617,8.1883,0.1761,0.0807,0.8846,7.607,0.2902,0.0745,0.8701,8.5285,0.2516,0.0756,0.8606,8.9588,0.2388,0.0765,0.8745,7.9669,0.3264,0.069,0.8935,7.5363,0.2818,0.0737
-1.6088,39.6953,-0.3034,0.0932,0.7917,10.7418,0.2093,0.081,0.8538,10.029,-0.0019,0.0824,0.8934,7.3919,0.2275,0.0799,0.903,7.23,0.1151,0.0852,0.8349,7.8082,0.2026,0.0761,0.8898,8.1184,0.2937,0.0746,0.8705,8.7851,0.2306,0.0776,0.8824,7.4659,0.2646,0.0716,0.8978,7.6144,0.3079,0.0711
-1.1973,38.0924,-0.1985,0.0927,0.8341,10.7395,0.2151,0.0804,0.8434,10.1524,-0.0726,0.0831,0.8862,7.3841,0.17300000000000001,0.0804,0.9092,7.0608,0.0724,0.0828,0.8722,8.0804,0.2574,0.0748,0.8847,8.01,0.1551,0.0797,0.8742,8.9176,0.2283,0.0769,0.8836,7.9809,0.2492,0.0739,0.8955,7.4745,0.32,0.0722
-1.4192,39.5165,-0.2522,0.0927,0.7944,10.7986,0.2235,0.0797,0.8444,10.1886,-0.0808,0.0832,0.8973,7.4251,0.0981,0.0845,0.8881,7.3712,0.0741,0.0846,0.8876,7.4749,0.2389,0.075,0.8768,8.4479,0.2701,0.075,0.8682,8.6204,0.20600000000000002,0.076,0.8673,8.2975,0.3024,0.0709,0.9008,7.7514,0.2744,0.07200000000000001
-1.026,37.3877,-0.1926,0.0929,0.8078,10.7613,0.1661,0.0801,0.835,10.3678,0.0042,0.0826,0.8589,7.3843,0.1808,0.0798,0.8882,7.5881,0.1868,0.0822,0.8742,7.8655,0.2859,0.0724,0.8591,8.8063,0.2268,0.0756,0.8702,8.6193,0.2118,0.0763,0.8744,7.606,0.1852,0.0718,0.9,7.7661,0.3342,0.0711
-1.0207,37.2591,-0.3381,0.0965,0.7874,11.0227,0.1974,0.0813,0.8422,10.2263,-0.0169,0.0824,0.8857,7.4416,0.1752,0.0835,0.8787,7.667999999999999,0.1682,0.0821,0.8587,8.1855,0.3038,0.0735,0.8924,8.3574,0.2654,0.0761,0.8792,8.46,0.2523,0.0755,0.8793,8.0325,0.2745,0.071,0.8985,7.5445,0.3544,0.0707
-0.9382,37.1345,-0.2131,0.0935,0.8421,10.2561,0.1897,0.0789,0.8492,10.0908,-0.0239,0.08199999999999999,0.8687,8.2863,0.2034,0.0813,0.9023,7.4618,0.1397,0.0828,0.9135,6.9358,0.2229,0.0755,0.8622,8.9164,0.2295,0.076,0.8864,8.4229,0.2307,0.0762,0.8739,8.1998,0.2821,0.0725,0.8743,8.0416,0.2643,0.0726
-0.9399,37.3638,-0.19399999999999998,0.0927,0.7992,11.3831,0.1221,0.0819,0.8346,10.2106,-0.0004,0.0827,0.8938,7.3868,0.1744,0.0815,0.8703,7.6759,0.2021,0.0811,0.8683,7.707000000000001,0.2439,0.0733,0.8189,8.7215,0.2393,0.0755,0.857,8.9598,0.2098,0.078,0.8703,8.0483,0.3188,0.0703,0.8711,7.9686,0.3243,0.0722
-1.5281,38.2426,-0.2535,0.0931,0.8158,10.6026,0.2198,0.0797,0.8587,9.8454,-0.0279,0.0827,0.8513,7.4045,0.2007,0.0813,0.8838,7.4219,0.111,0.0823,0.8672,7.3943,0.3261,0.0725,0.8856,8.3463,0.1824,0.0764,0.855,8.3503,0.2176,0.0768,0.8631,8.3261,0.3246,0.0706,0.8964,7.8109,0.2887,0.0722
-1.4686,37.039,-0.264,0.0938,0.8004,10.8557,0.1787,0.0826,0.8277,10.2796,-0.0323,0.0827,0.8843,7.6523,0.1052,0.0847,0.8961,7.3272,0.0816,0.0818,0.8792,7.9242,0.2499,0.075,0.9032,8.0056,0.2283,0.0776,0.843,8.8784,0.2853,0.075,0.9126,7.0502,0.3141,0.0698,0.8879,8.0379,0.3178,0.0732
-1.2367,38.7657,-0.2796,0.0931,0.8258,10.7185,0.2342,0.0789,0.8067,11.1125,-0.0169,0.083,0.8419,8.4563,0.1847,0.0804,0.8787,7.6339,0.2152,0.0813,0.8758,7.66,0.2688,0.0744,0.8540000000000001,9.1415,0.2771,0.0757,0.8695,8.5504,0.1922,0.0768,0.8707,7.8062,0.3029,0.0713,0.8876,7.7322,0.3231,0.0715
-0.8271,37.0161,-0.2543,0.0929,0.8291,10.7816,0.1837,0.0799,0.8191,10.1564,-0.0804,0.0835,0.8498,7.9062,0.1882,0.081,0.8795,8.0546,0.1622,0.0849,0.8802,6.9779,0.2168,0.0752,0.8862,8.3935,0.2789,0.0753,0.8809,8.105,0.161,0.0781,0.8601,8.2697,0.365,0.0678,0.8787,7.3263,0.3201,0.07200000000000001
-0.8983,37.1342,-0.1765,0.0926,0.8324,10.8493,0.2205,0.0792,0.8403,10.2585,-0.1564,0.0847,0.8897,7.3271,0.1446,0.0816,0.8862,7.8491,0.0807,0.0856,0.8755,7.7998,0.3069,0.0734,0.8597,8.5274,0.2365,0.0768,0.894,8.2209,0.2505,0.0782,0.8357,7.874,0.3246,0.0691,0.905,7.5335,0.3525,0.0709
-1.0108,37.4982,-0.2321,0.0926,0.8190000000000001,10.6058,0.2703,0.0776,0.8540000000000001,9.9396,-0.0789,0.0832,0.8547,7.7837,0.1618,0.0829,0.8715,7.4014,0.0547,0.0851,0.8496,8.0561,0.2551,0.0747,0.8832,8.0031,0.2527,0.0756,0.8639,8.6415,0.2446,0.077,0.8762,7.7373,0.3412,0.0713,0.8968,7.3235,0.3159,0.0717
