Simple_tg_r2,Simple_tg_mae,Simple_iv_r2,Simple_iv_mae,OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,OH+Mw_tg_r2,OH+Mw_tg_mae,OH+Mw_iv_r2,OH+Mw_iv_mae,CM_tg_r2,CM_tg_mae,CM_iv_r2,CM_iv_mae,BOB_tg_r2,BOB_tg_mae,BOB_iv_r2,BOB_iv_mae,PI (50)_tg_r2,PI (50)_tg_mae,PI (50)_iv_r2,PI (50)_iv_mae,SOAP_tg_r2,SOAP_tg_mae,SOAP_iv_r2,SOAP_iv_mae,MBTR_tg_r2,MBTR_tg_mae,MBTR_iv_r2,MBTR_iv_mae
-0.5055,37.5463,0.1768,0.1430,0.5632,16.2143,0.4120,0.1191,0.5192,16.8379,0.4821,0.1078,0.8122,10.5928,0.6275,0.0824,0.8335,9.9108,0.6462,0.0822,0.7990,10.8845,0.6838,0.0820,0.8387,10.4605,0.6494,0.0829,0.8316,8.4742,0.6689,0.0814
-0.5131,37.5609,0.0618,0.1467,0.5890,16.1996,0.4043,0.1194,0.5834,16.5349,0.5416,0.1045,0.8654,9.6006,0.6345,0.0820,0.8377,9.7022,0.6510,0.0811,0.8222,10.5091,0.7070,0.0802,0.8625,9.2284,0.6711,0.0799,0.8568,8.1999,0.6810,0.0820
-0.5455,37.6593,0.1284,0.1439,0.5520,16.4238,0.4100,0.1184,0.5822,16.3232,0.5559,0.1009,0.8401,10.0216,0.6928,0.0756,0.8589,9.4436,0.6216,0.0825,0.8210,10.6941,0.6836,0.0795,0.8386,10.1723,0.6429,0.0807,0.8274,8.1150,0.7142,0.0801
-0.4764,37.4280,0.1350,0.1438,0.5414,16.6837,0.4286,0.1186,0.5979,16.5031,0.5700,0.1005,0.8508,9.7104,0.6521,0.0819,0.8278,10.1621,0.6969,0.0779,0.8138,10.4098,0.7008,0.0793,0.8421,9.9816,0.6733,0.0782,0.8502,8.2532,0.7158,0.0783
-0.4503,37.3472,0.1091,0.1440,0.5943,16.5735,0.4054,0.1192,0.5971,16.4190,0.5316,0.1055,0.8460,9.4496,0.6877,0.0784,0.8335,10.1509,0.6853,0.0774,0.7901,11.1371,0.7022,0.0808,0.8280,10.1456,0.6729,0.0784,0.8699,7.6389,0.6530,0.0813
-0.4584,37.3998,0.1046,0.1458,0.5773,16.3150,0.4083,0.1206,0.5553,16.7935,0.5499,0.1034,0.8637,9.3590,0.6030,0.0842,0.8491,9.9909,0.6805,0.0775,0.8353,10.5592,0.7025,0.0805,0.7679,11.3670,0.6684,0.0805,0.8737,7.7134,0.6839,0.0821
-0.4467,37.4218,0.1001,0.1433,0.5693,16.2446,0.3875,0.1200,0.5652,16.7689,0.5269,0.1051,0.8556,9.3875,0.6771,0.0778,0.8099,10.3139,0.6777,0.0803,0.8134,10.8847,0.6811,0.0810,0.8413,9.9133,0.6495,0.0808,0.8259,8.3638,0.7087,0.0805
-0.4634,37.4364,0.1060,0.1449,0.5499,16.4005,0.4167,0.1200,0.5683,16.3948,0.4888,0.1068,0.8517,9.9163,0.7047,0.0783,0.8502,9.7322,0.6668,0.0777,0.8288,10.4231,0.6922,0.0800,0.8752,8.9754,0.6754,0.0772,0.8672,7.8889,0.7112,0.0806
-0.5873,37.6900,0.0635,0.1462,0.5701,16.2764,0.4287,0.1195,0.5752,16.2794,0.5514,0.1003,0.8538,9.8356,0.6945,0.0779,0.8413,9.7270,0.6692,0.0800,0.8011,10.8849,0.6893,0.0824,0.8207,10.2589,0.6876,0.0807,0.8229,8.6697,0.7146,0.0808
-0.4525,37.3876,0.1167,0.1449,0.5364,16.2708,0.4364,0.1165,0.5852,16.5287,0.5323,0.1029,0.8430,9.9224,0.6757,0.0748,0.8628,9.6391,0.6701,0.0805,0.8258,10.4110,0.6861,0.0803,0.8250,10.0364,0.6419,0.0851,0.8887,7.7771,0.7100,0.0805
-0.4762,37.3590,0.1335,0.1440,0.5634,16.4204,0.4227,0.1167,0.5581,16.3507,0.5476,0.1028,0.8562,9.7230,0.6686,0.0783,0.8291,9.7062,0.6847,0.0784,0.7142,12.0254,0.7090,0.0794,0.8611,9.6010,0.6683,0.0808,0.8621,7.9653,0.6834,0.0813
-0.7231,37.9781,0.0755,0.1455,0.5640,16.5945,0.4213,0.1186,0.5728,16.5570,0.5546,0.1016,0.8484,9.5444,0.6671,0.0791,0.8530,9.6798,0.6774,0.0803,0.8051,10.8843,0.7157,0.0801,0.8221,10.6045,0.6851,0.0774,0.8377,8.8659,0.7171,0.0808
